"FullName","Length","Attributes"
"C:\vafwServ.exe","844288","Hidden, System"
"C:\vashQuick.exe","844288","Hidden, System"
"C:\Program Files\7-Zip\v7z.exe","1153536","Hidden, System, Archive"
"C:\Program Files\7-Zip\v7zFM.exe","1579008","Hidden, System, Archive"
"C:\Program Files\7-Zip\v7zG.exe","1304064","Hidden, System, Archive"
"C:\Program Files\7-Zip\vUninstall.exe","1217536","Hidden, System, Archive"
"C:\Program Files\Avast Software\AvVps\vengsup.exe","2406328","Hidden, System"
"C:\Program Files\Avast Software\Suite\vafwServ.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vafwServ.exe.ipending.73f37813","2755512","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vashQuick.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vashQuick.exe.ipending.73f37813","560568","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vashUpd.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vashUpd.exe.ipending.73f37813","713656","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vaswAvBootTimeScanShMin.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vaswAvBootTimeScanShMin.exe.ipending.73f37813","1364920","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vaswChLic.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vaswChLic.exe.ipending.73f37813","315320","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vaswEngSrv.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vaswEngSrv.exe.ipending.73f37813","663992","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vaswidsagent.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vaswidsagent.exe.ipending.73f37813","8039352","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vaswRunDll.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vaswRunDll.exe.ipending.73f37813","4705208","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vaswToolsSvc.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vaswToolsSvc.exe.ipending.73f37813","1097656","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vautoreactivator.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vautoreactivator.exe.ipending.73f37813","3853240","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvastNM.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvastNM.exe.ipending.73f37813","2406840","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvastSvc.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvastSvc.exe.ipending.73f37813","1044920","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvastUI.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvastUI.exe.ipending.73f37813","22126008","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvBugReport.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvBugReport.exe.ipending.73f37813","6479288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvConsent.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvConsent.exe.ipending.73f37813","657848","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvDump.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvDump.exe.ipending.73f37813","4073400","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvEmUpdate.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvEmUpdate.exe.ipending.73f37813","5805496","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvLaunch.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vAvLaunch.exe.ipending.73f37813","1072056","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vbgapp.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vbgapp.exe.ipending.73f37813","8090552","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vbgaux.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vbgaux.exe.ipending.73f37813","305080","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vbgscraper.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vbgscraper.exe.ipending.73f37813","5725112","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vbgsvc.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vbgsvc.exe.ipending.73f37813","11416504","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vDriverUpdSvc.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vDriverUpdSvc.exe.ipending.73f37813","19593656","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vfirefox_pass.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vfirefox_pass.exe.ipending.73f37813","552376","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vgaming_hook.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vgaming_hook.exe.ipending.73f37813","589240","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vgf2hlp.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vgf2hlp.exe.ipending.73f37813","4450744","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vOobeUtil.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vOobeUtil.exe.ipending.73f37813","1443256","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\voverseer.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\voverseer.exe.ipending.73f37813","3757792","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vpdfix.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vpdfix.exe.ipending.73f37813","7046584","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vRecoveryConsole.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vRecoveryConsole.exe.ipending.73f37813","14847416","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vRegSvr.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vRegSvr.exe.ipending.73f37813","4629432","Hidden, System, Archive"
